"session_id","route_id","Fecha","start_time","sport","sport_raw","source","vt1_used","vt2_used","zones_source","duration_min","moving_min","distance_km","elev_gain_m","elev_loss_m","elev_density","calories","hr_mean","hr_max","hr_p95","average_cadence","hrr_drop_bpm","average_weather_temp","z1_pct","z2_pct","z3_pct","z1_total_min","z2_total_min","z3_total_min","work_n_blocks","work_total_min","work_longest_min","work_avg_z3_pct","work_blocks_min","work_blocks_z3pct","late_intensity","cardiac_drift_pct","mechanics_source","polar_sport_raw","polar_start_delta_min","polar_duration_gap_min","run_power_available","run_power_mean","run_power_max","run_power_p95","speed_first_half","speed_second_half","cadence_first_half","cadence_second_half","polar_speed_available","polar_cadence_available","run_power_first_half","run_power_second_half","durability_applicable","speed_ratio","power_ratio","load","trimp","rpe","feel","icu_weighted_avg_watts","icu_joules_above_ftp","icu_max_wbal_depletion","decoupling","intensity_category","effort_vs_recent","effort_vs_anchor","session_group","notes_raw","rpe_present","notes_present","pipeline_version","stream_dt_est"
"i98610284","5857084.0","2025-09-22","07:47","hike","Hike","intervals","143","161","icu","642.2","502.9","23.74","1633.0","2018.0","68.8","4720.0","110.0","153.0","133.0","","","2.363308","99.8","0.2","0.0","481.7","1.1","0.0","0","0.0","0.0","0","","","0.0","5.4","intervals_fit","hiking generic","","","0.0","","","","3.11","3.02","","","1.0","0.0","","","1","0.971","","217.0","332.2257","","","","","","","easy","above","above","endurance_easy","","0","0","v3.11","1.0"
"i98610207","5857085.0","2025-09-23","08:04","hike","Hike","intervals","143","161","icu","615.3","420.9","19.7","1566.0","1193.0","79.5","4063.0","106.0","147.0","130.0","","","1.6687851","99.9","0.1","0.0","405.0","0.2","0.0","0","0.0","0.0","0","","","0.0","-0.1","intervals_fit","hiking generic","","","0.0","","","","2.98","3.13","","","1.0","0.0","","","1","1.05","","184.0","243.575","","","","","","","easy","above","above","endurance_easy","","0","0","v3.11","1.0"
"i98714725","5857086.0","2025-09-24","08:15","hike","Hike","intervals","143","161","icu","385.4","304.7","20.42","468.0","1381.0","22.9","2045.0","89.0","132.0","112.0","","","6.4127464","100.0","0.0","0.0","299.2","0.0","0.0","0","0.0","0.0","0","","","0.0","-11.5","intervals_fit","hiking generic","","","0.0","","","","3.81","4.54","","","1.0","0.0","","","1","1.192","","60.0","87.29901","","","","","","","easy","typical","typical","endurance_easy","","0","0","v3.11","1.0"
"i99050880","","2025-09-26","15:53","swim","Swim","intervals","134","149","icu","60.2","59.4","1.95","","","","487.0","115.0","132.0","123.8","41.0","","","100.0","0.0","0.0","59.4","0.0","0.0","0","0.0","0.0","0","","","0.0","-4.7","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","27.0","47.464813","","","","","","","easy","typical","typical","endurance_easy","","0","0","v3.11","1.0"
"i99050873","","2025-09-26","17:15","strength","WeightTraining","intervals","142","163","icu","48.3","48.3","0.0","","","","182.0","88.0","147.0","","","","","99.1","0.9","0.0","47.9","0.4","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","9.0","14.851965","","","","","","","NA","typical","typical","strength_unknown","","0","0","v3.11",""
"i99114853","","2025-09-27","08:39","road_run","VirtualRun","intervals","143","161","icu","70.5","68.6","10.08","","","","715.0","133.0","170.0","168.0","81.79454","13.0","","64.1","24.9","11.1","43.6","16.9","7.5","1","24.9","24.9","30","24.9","30","1.0","24.0","intervals_fit","running indoor_running","","","0.0","","","","8.83","8.99","81.6","82.0","1.0","1.0","","","0","1.018","","60.0","95.89472","","","","","","","work_intense","below","unknown","endurance_hard","","0","0","v3.11","1.0"
"i99328799","5857087.0","2025-09-28","17:01","bike","Ride","intervals","139","156","icu","166.2","157.4","48.66","876.0","858.0","18.0","1329.0","117.0","151.0","141.0","83.536766","","20.920105","91.8","8.2","0.0","144.2","12.9","0.0","1","9.5","9.5","0","9.5","0","0.0","-7.2","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","86.0","143.29152","","","","","","","work_moderate","typical","typical","endurance_moderate","","0","0","v3.11","1.0"
"i99424683","5857088.0","2025-09-29","14:33","trail_run","TrailRun","intervals","143","161","icu","73.3","72.9","10.02","259.0","258.0","25.8","689.0","126.0","146.0","135.0","80.2527","","22.852564","99.7","0.3","0.0","72.6","0.2","0.0","0","0.0","0.0","0","","","0.0","3.7","intervals_fit","running trail","","","0.0","","","","8.41","8.38","80.6","79.9","1.0","1.0","","","0","0.996","","47.0","85.856804","","","","","","","easy","typical","typical","endurance_easy","","0","0","v3.11","1.0"
"i99573277","","2025-09-30","09:17","strength","WeightTraining","intervals","142","163","icu","66.6","66.6","0.0","","","","221.0","81.0","126.0","","","","","100.0","0.0","0.0","66.6","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","11.0","17.779486","","","","","","","NA","typical","typical","strength_unknown","","0","0","v3.11",""
"i99573221","","2025-09-30","15:29","swim","Swim","intervals","134","149","icu","46.6","45.0","1.45","","","","416.0","125.0","156.0","139.0","45.0","","","84.3","15.2","0.5","38.0","6.8","0.2","1","7.4","7.4","0","7.4","0","1.0","8.3","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","29.0","51.08919","","","","","","","work_moderate","below","below","endurance_moderate","","0","0","v3.11","1.0"
"i99573191","","2025-09-30","16:18","swim","Swim","intervals","134","149","icu","15.6","14.8","0.47","","","","141.0","127.0","145.0","140.0","41.0","","","84.0","16.0","0.0","12.4","2.4","0.0","0","0.0","0.0","0","","","0.0","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","10.0","17.64195","","","","","","","easy","below","below","endurance_easy","","0","0","v3.11","1.004"
"i99573166","","2025-09-30","16:44","strength","WeightTraining","intervals","142","163","icu","34.9","34.8","0.0","","","","171.0","97.0","122.0","","","","","100.0","0.0","0.0","34.9","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","10.0","16.952211","","","","","","","NA","typical","typical","strength_unknown","","0","0","v3.11",""
"i99725308","5857069.0","2025-10-01","13:51","bike","Ride","intervals","139","156","icu","122.0","118.7","36.84","824.0","806.0","22.4","1125.0","129.0","163.0","158.0","83.35277","","22.825739","65.2","26.9","7.9","77.3","32.0","9.3","5","37.7","16.6","25","16.6;4.0;3.5;7.6;6.0","56;0;0;0;0","0.0","-19.2","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","88.0","146.59285","","","","","","","work_intense","typical","unknown","endurance_hard","","0","0","v3.11","1.0"
"i99868771","5857092.0","2025-10-02","14:26","trail_run","TrailRun","intervals","143","161","icu","103.3","101.2","8.02","694.0","693.0","86.5","1078.0","137.0","172.0","166.0","63.924118","40.0","21.519794","56.6","33.8","9.6","56.5","33.7","9.5","6","42.3","12.6","23","12.6;12.4;7.2;3.5;3.3;3.3","68;8;0;0;0;0","0.0","-4.5","intervals_fit","running trail","","","0.0","","","","5.28","4.72","66.6","61.3","1.0","1.0","","","0","0.894","","90.0","151.29138","","","","","","","work_intense","typical","unknown","endurance_hard","","0","0","v3.11","1.0"
"i99993443","","2025-10-03","08:47","strength","WeightTraining","intervals","142","163","icu","69.9","69.9","0.0","","","","289.0","90.0","127.0","","","","","100.0","0.0","0.0","70.0","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","15.0","25.967854","","","","","","","NA","above","typical","strength_unknown","","0","0","v3.11",""
"i100075358","","2025-10-03","15:27","swim","Swim","intervals","134","149","icu","52.2","51.6","2.9","","","","458.0","125.0","146.0","140.0","49.0","","","77.9","22.1","0.0","40.2","11.4","0.0","1","5.5","5.5","0","5.5","0","1.0","23.7","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","33.0","57.839905","","","","","","","work_moderate","below","below","endurance_moderate","","0","0","v3.11","1.0"
"i100075348","","2025-10-03","16:29","strength","WeightTraining","intervals","142","163","icu","24.8","24.8","0.0","","","","153.0","103.0","126.0","","","","","100.0","0.0","0.0","24.8","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","8.0","14.389469","","","","","","","NA","below","typical","strength_unknown","","0","0","v3.11",""
"i100176245","5857093.0","2025-10-04","08:18","bike","Ride","intervals","139","156","icu","131.2","129.8","52.37","217.0","217.0","4.1","1088.0","121.0","152.0","142.0","88.63529","","20.144606","92.0","8.0","0.0","119.4","10.4","0.0","1","3.3","3.3","0","3.3","0","0.0","5.2","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","74.0","130.49405","","","","","","","easy","typical","above","endurance_easy","","0","0","v3.11","1.0"
"i100356286","5857095.0","2025-10-05","09:30","trail_run","TrailRun","intervals","143","161","icu","115.2","111.5","12.7","436.0","435.0","34.3","1110.0","129.0","162.0","152.0","77.34819","","19.96762","84.3","15.5","0.1","92.2","17.0","0.1","2","9.8","5.7","1","4.1;5.7","0;2","0.0","-0.3","intervals_fit","running trail","","","0.0","","","","7.35","6.83","78.7","76.0","1.0","1.0","","","1","0.929","","76.0","127.237656","","","","","","","work_moderate","typical","typical","endurance_moderate","","0","0","v3.11","1.001"
"i100583862","","2025-10-06","14:19","elliptical","Elliptical","intervals","142","163","icu","60.0","60.0","0.0","","","","544.0","124.0","146.0","138.0","","","","97.6","2.4","0.0","58.5","1.5","0.0","0","0.0","0.0","0","","","1.0","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","36.0","62.932003","","","","","","","finish_strong","typical","typical","endurance_easy","","0","0","v3.11","1.0"
"i100607801","","2025-10-06","15:25","strength","WeightTraining","intervals","142","163","icu","51.8","51.8","0.0","","","","231.0","92.0","109.0","","","","","100.0","0.0","0.0","51.8","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","11.0","19.705631","","","","","","","NA","typical","typical","strength_unknown","","0","0","v3.11",""
"i100765545","","2025-10-07","14:55","road_run","VirtualRun","intervals","143","161","icu","94.2","89.8","13.44","","","","1069.0","145.0","165.0","160.0","81.74953","","","18.1","80.2","1.7","16.2","71.7","1.5","1","76.1","76.1","2","76.1","2","0.0","12.3","intervals_fit","running indoor_running","","","0.0","","","","9.14","8.94","81.4","82.1","1.0","1.0","","","1","0.978","","100.0","166.91135","","","","","","","work_steady","above","typical","endurance_moderate","","0","0","v3.11","1.001"
"i100930290","5857096.0","2025-10-08","13:24","bike","Ride","intervals","139","156","icu","142.2","137.5","53.62","133.0","93.0","2.5","1149.0","118.0","144.0","135.0","88.29218","","23.584019","99.1","0.9","0.0","136.1","1.2","0.0","0","0.0","0.0","0","","","0.0","3.9","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","71.0","121.92132","","","","","","","easy","typical","above","endurance_easy","","0","0","v3.11","1.0"
"i101049088","","2025-10-09","08:40","strength","WeightTraining","intervals","142","163","icu","70.0","69.9","0.0","","","","307.0","92.0","143.0","","","","","99.9","0.1","0.0","69.9","0.1","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","17.0","26.588976","","","","","","","NA","above","above","strength_unknown","","0","0","v3.11",""
"i101111633","","2025-10-09","15:23","swim","Swim","intervals","134","149","icu","45.9","44.8","0.8","","","","403.0","125.0","156.0","144.0","28.0","","","79.3","19.3","1.4","26.0","6.3","0.5","0","0.0","0.0","0","","","1.0","5.2","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","28.0","49.098087","","","","","","","finish_strong","below","typical","endurance_easy","","0","0","v3.11","1.0"
"i101111617","","2025-10-09","16:27","strength","WeightTraining","intervals","142","163","icu","22.6","22.5","0.0","","","","117.0","96.0","120.0","","","","","100.0","0.0","0.0","22.6","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","6.0","9.904299","","","","","","","NA","below","below","strength_unknown","","0","0","v3.11",""
"i101312429","5857097.0","2025-10-10","15:59","bike","Ride","intervals","139","156","icu","147.7","139.4","40.54","876.0","876.0","21.6","1226.0","119.0","152.0","147.0","84.05349","","22.123554","85.3","14.7","0.0","118.5","20.4","0.0","4","18.9","5.3","0","5.3;4.2;4.8;4.6","0;0;0;0","0.0","-6.9","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","82.0","130.70917","","","","","","","work_moderate","typical","typical","endurance_moderate","","0","0","v3.11","1.0"
"i101391434","5857100.0","2025-10-11","08:32","hike","Hike","intervals","143","161","icu","135.0","134.4","18.7","295.0","267.0","15.8","1359.0","133.0","153.0","145.0","","","17.68273","91.8","8.2","0.0","123.4","11.0","0.0","2","9.1","4.8","0","4.3;4.8","0;0","0.0","-6.7","intervals_fit","hiking generic","","","0.0","","","","8.5","8.59","","","1.0","0.0","","","1","1.011","","100.0","180.94926","","","","","","","work_moderate","above","typical","endurance_moderate","","0","0","v3.11","1.0"
"i101680577","","2025-10-13","08:41","strength","WeightTraining","intervals","142","163","icu","64.2","64.2","0.0","","","","251.0","88.0","126.0","","","","","100.0","0.0","0.0","64.2","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","13.0","22.108805","","","","","","","NA","typical","typical","strength_unknown","","0","0","v3.11",""
"i101745724","","2025-10-13","15:32","swim","Swim","intervals","134","149","icu","45.8","45.0","1.5","","","","387.0","119.0","135.0","127.0","44.0","","","100.0","0.0","0.0","45.0","0.0","0.0","0","0.0","0.0","0","","","0.0","0.4","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","24.0","42.814518","","","","","","","easy","below","typical","endurance_easy","","0","0","v3.11","1.0"
"i101745710","","2025-10-13","16:28","strength","WeightTraining","intervals","142","163","icu","29.2","29.2","0.0","","","","118.0","89.0","112.0","","","","","100.0","0.0","0.0","29.2","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","6.0","10.436054","","","","","","","NA","below","below","strength_unknown","","0","0","v3.11",""
"i101920386","5857102.0","2025-10-14","14:40","trail_run","TrailRun","intervals","143","161","icu","130.2","129.9","15.71","846.0","854.0","53.9","1340.0","135.0","157.0","153.0","77.576645","","20.7951","68.6","31.4","0.0","89.0","40.8","0.0","4","46.2","19.8","0","19.8;8.2;11.0;7.2","0;0;0;0","0.0","-4.9","intervals_fit","running trail","","","0.0","","","","7.46","7.41","76.3","78.8","1.0","1.0","","","0","0.993","","106.0","187.79855","","","","","","","work_steady","above","typical","endurance_moderate","","0","0","v3.11","1.0"
"i102086439","5857103.0","2025-10-15","13:49","bike","Ride","intervals","139","156","icu","131.8","127.2","36.79","877.0","864.0","23.8","1136.0","122.0","147.0","143.0","86.12538","","20.917183","85.7","14.3","0.0","108.9","18.1","0.0","2","19.5","15.7","0","3.8;15.7","0;0","0.0","-9.8","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","82.0","139.36992","","","","","","","work_moderate","typical","typical","endurance_moderate","","0","0","v3.11","1.0"
"i102263163","","2025-10-16","15:00","swim","Swim","intervals","134","149","icu","60.6","59.9","2.0","","","","521.0","120.0","133.0","128.0","39.0","","","100.0","0.0","0.0","59.9","0.0","0.0","0","0.0","0.0","0","","","0.0","10.6","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","32.0","56.275795","","","","","","","easy","typical","typical","endurance_easy","","0","0","v3.11","1.0"
"i102263158","","2025-10-16","16:14","strength","WeightTraining","intervals","142","163","icu","61.1","61.0","0.0","","","","273.0","91.0","120.0","","","","","100.0","0.0","0.0","61.1","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","13.0","21.757587","","","","","","","NA","typical","typical","strength_unknown","","0","0","v3.11",""
"i102428086","5857105.0","2025-10-17","15:55","road_run","Run","intervals","143","161","icu","131.4","130.7","18.0","1043.0","1038.0","57.9","1390.0","138.0","164.0","154.0","78.758606","","19.146473","65.0","34.8","0.2","84.7","45.4","0.2","4","41.9","18.4","1","15.8;18.4;3.5;4.2","0;1;0;0","0.0","15.4","intervals_fit","running generic","","","0.0","","","","9.77","7.14","83.1","74.4","1.0","1.0","","","0","0.731","","115.0","203.92596","","","","","","","work_steady","above","typical","endurance_moderate","","0","0","v3.11","1.0"
"i102752075","5857032.0","2025-10-19","17:14","bike","Ride","intervals","139","156","icu","169.1","158.8","63.95","432.0","404.0","6.8","1522.0","127.0","157.0","151.0","94.26493","","20.603048","77.7","22.2","0.1","123.2","35.1","0.2","3","24.5","15.4","1","5.8;3.3;15.4","0;0;1","0.0","-5.6","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","108.0","177.48737","","","","","","","work_steady","above","typical","endurance_moderate","","0","0","v3.11","1.0"
"i102858549","","2025-10-20","15:11","strength","WeightTraining","intervals","142","163","icu","101.5","101.5","0.0","","","","532.0","98.0","141.0","","","","","100.0","0.0","0.0","101.5","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","28.0","46.855255","","","","","","","NA","above","above","strength_unknown","","0","0","v3.11",""
"i103030037","","2025-10-21","14:50","road_run","VirtualRun","intervals","143","161","icu","95.0","92.0","12.83","","","","934.0","133.0","146.0","144.0","79.21062","","","93.7","6.3","0.0","85.9","5.8","0.0","3","14.7","5.5","0","5.5;5.3;3.9","0;0;0","0.0","4.4","intervals_fit","running indoor_running","","","0.0","","","","8.61","8.24","80.1","78.3","1.0","1.0","","","0","0.957","","75.0","127.46812","","","","","","","work_moderate","below","typical","endurance_moderate","","0","0","v3.11","1.0"
"i103217062","5857107.0","2025-10-22","15:21","bike","Ride","intervals","139","156","icu","102.0","93.4","25.72","648.0","624.0","25.2","866.0","124.0","153.0","147.0","83.73821","","25.864796","62.6","37.4","0.0","58.4","34.9","0.0","4","36.5","16.3","0","4.0;16.3;5.7;10.5","0;0;0;0","0.0","-33.2","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","64.0","101.94408","","","","","","","work_steady","below","typical","endurance_moderate","","0","0","v3.11","1.0"
"i103394017","","2025-10-23","15:00","swim","Swim","intervals","134","149","icu","61.7","61.1","2.1","","","","500.0","119.0","142.0","132.0","39.0","","","98.1","1.9","0.0","60.0","1.2","0.0","0","0.0","0.0","0","","","0.0","1.6","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","32.0","57.335712","","","","","","","easy","typical","typical","endurance_easy","","0","0","v3.11","1.001"
"i103398641","","2025-10-23","16:12","strength","WeightTraining","intervals","142","163","icu","39.3","39.3","0.0","","","","197.0","97.0","120.0","","","","","100.0","0.0","0.0","39.3","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","10.0","18.31139","","","","","","","NA","typical","typical","strength_unknown","","0","0","v3.11",""
"i103499314","","2025-10-24","08:55","elliptical","Elliptical","intervals","142","163","icu","67.3","67.3","0.0","","","","574.0","121.0","136.0","131.0","","","","100.0","0.0","0.0","67.3","0.0","0.0","0","0.0","0.0","0","","","0.0","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","36.0","62.338837","","","","","","","easy","typical","typical","endurance_easy","","0","0","v3.11","1.001"
"i103812177","","2025-10-26","10:14","elliptical","Elliptical","intervals","142","163","icu","70.7","70.7","0.0","","","","687.0","132.0","149.0","146.0","","","","87.1","12.9","0.0","61.5","9.1","0.0","2","13.9","10.2","0","3.7;10.2","0;0","0.0","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","54.0","91.99236","","","","","","","work_moderate","below","below","endurance_moderate","","0","0","v3.11","1.001"
"i104008307","5857109.0","2025-10-27","14:44","trail_run","TrailRun","intervals","143","161","icu","125.3","123.6","17.59","1012.0","1015.0","57.5","1257.0","135.0","154.0","143.0","80.71791","","17.048687","95.6","4.4","0.0","117.2","5.3","0.0","0","0.0","0.0","0","","","0.0","-2.9","intervals_fit","running trail","","","0.0","","","","8.89","8.64","80.5","80.9","1.0","1.0","","","1","0.972","","97.0","173.7813","","","","","","","easy","above","above","endurance_easy","","0","0","v3.11","1.0"
"i104159007","","2025-10-28","14:21","strength","WeightTraining","intervals","142","163","icu","80.8","80.8","0.0","","","","283.0","86.0","122.0","","","","","100.0","0.0","0.0","80.8","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","14.0","24.272152","","","","","","","NA","above","typical","strength_unknown","","0","0","v3.11",""
"i104320391","","2025-10-29","14:56","mobility","Workout","intervals","142","163","icu","90.5","90.5","0.0","","","","765.0","120.0","131.0","","","","","100.0","0.0","0.0","90.5","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","47.0","81.422035","","","","","","","NA","unknown","unknown","mobility","","0","0","v3.11",""
"i104489297","","2025-10-30","16:44","strength","WeightTraining","intervals","142","163","icu","56.7","56.7","0.0","","","","165.0","81.0","112.0","","","","","100.0","0.0","0.0","56.7","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","8.0","13.702752","","","","","","","NA","below","typical","strength_unknown","","0","0","v3.11",""
"i104656554","5857110.0","2025-10-31","15:16","bike","Ride","intervals","139","156","icu","99.0","95.1","28.04","645.0","650.0","23.0","860.0","126.0","153.0","147.0","82.30008","","21.739216","67.8","32.2","0.0","64.2","30.5","0.0","4","33.2","14.8","0","3.6;14.8;11.4;3.4","0;0;0;0","0.0","-14.8","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","66.0","110.805435","","","","","","","work_steady","below","typical","endurance_moderate","","0","0","v3.11","1.0"
"i104896936","5857111.0","2025-11-02","08:20","trail_run","TrailRun","intervals","143","161","icu","114.6","113.0","15.31","388.0","400.0","25.3","1182.0","138.0","163.0","156.0","80.170815","","17.249136","75.2","24.1","0.7","84.7","27.1","0.8","4","18.1","6.5","0","4.5;6.5;3.9;3.2","0;0;0;0","0.0","28.8","intervals_fit","running trail","","","0.0","","","","9.29","7.16","81.9","78.5","1.0","1.0","","","0","0.771","","96.0","167.26715","","","","","","","work_moderate","typical","typical","endurance_moderate","","0","0","v3.11","1.0"
"i105062279","5857113.0","2025-11-03","07:39","trail_run","TrailRun","intervals","143","161","icu","68.5","68.4","8.71","342.0","340.0","39.3","665.0","132.0","161.0","154.0","79.64608","","13.326299","74.0","26.0","0.0","50.5","17.8","0.0","1","4.2","4.2","0","4.2","0","0.0","11.4","intervals_fit","running trail","","","0.0","","","","7.88","7.73","79.3","80.0","1.0","1.0","","","0","0.981","","52.0","88.74409","","","","","","","easy","typical","typical","endurance_easy","","0","0","v3.11","1.0"
"i105271532","","2025-11-04","14:13","strength","WeightTraining","intervals","142","163","icu","80.5","80.5","0.0","","","","298.0","88.0","127.0","","","","","100.0","0.0","0.0","80.5","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","16.0","26.962948","","","","","","","NA","above","above","strength_unknown","","0","0","v3.11",""
"i105445890","","2025-11-05","15:44","strength","WeightTraining","intervals","142","163","icu","57.2","57.2","0.0","","","","229.0","89.0","122.0","","","","","100.0","0.0","0.0","57.2","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","11.0","19.38386","","","","","","","NA","typical","typical","strength_unknown","","0","0","v3.11",""
"i105585418","","2025-11-06","15:12","swim","Swim","intervals","134","149","icu","45.0","44.0","1.45","","","","391.0","126.0","160.0","148.0","40.0","","","73.6","23.3","3.1","32.5","10.2","1.4","3","18.7","8.1","7","5.2;8.1;5.4","0;0;25","0.0","-10.4","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","28.0","47.870144","4.0","3.0","","","","","work_moderate","below","below","endurance_moderate","","1","0","v3.11","1.0"
"i105754519","5857114.0","2025-11-07","15:01","bike","Ride","intervals","139","156","icu","155.4","141.6","41.84","850.0","866.0","20.3","1425.0","132.0","172.0","167.0","82.62459","38.0","17.30543","53.1","32.0","15.0","74.9","45.1","21.1","5","54.1","19.0","36","18.6;5.3;5.0;6.2;19.0","77;0;0;12;23","0.0","-8.5","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","123.0","191.15836","5.0","3.0","","","","","work_intense","above","unknown","endurance_hard","","1","0","v3.11","1.0"
"i105823575","","2025-11-08","09:25","road_run","VirtualRun","intervals","143","161","icu","35.0","33.6","4.79","","","","377.0","144.0","182.0","182.0","76.59286","41.0","","57.5","6.3","36.2","19.0","2.1","12.0","1","12.8","12.8","91","12.8","91","0.0","41.4","intervals_fit","running indoor_running","","","0.0","","","","9.13","8.33","80.9","72.3","1.0","1.0","","","0","0.912","","41.0","58.832607","8.0","3.0","","","","","work_intense","below","unknown","endurance_hard","","1","0","v3.11","1.0"
"i106055654","5857115.0","2025-11-09","14:35","bike","Ride","intervals","139","156","icu","178.8","168.6","55.44","917.0","881.0","16.5","1658.0","132.0","157.0","151.0","85.92844","","14.781244","64.0","35.6","0.4","107.8","60.0","0.6","8","58.8","14.7","1","14.7;4.9;3.1;3.4;6.9;9.8;10.3;5.7","0;0;0;0;0;0;5;0","0.0","-43.0","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","131.0","225.42752","5.0","2.0","","","","","work_steady","above","above","endurance_moderate","","1","0","v3.11","1.0"
"i106193921","","2025-11-10","14:02","strength","WeightTraining","intervals","142","163","icu","87.2","87.2","0.0","","","","450.0","98.0","132.0","","","","","100.0","0.0","0.0","87.2","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","24.0","41.189297","4.0","2.0","","","","","NA","above","above","strength_unknown","","1","0","v3.11",""
"i106383907","5857117.0","2025-11-11","14:35","trail_run","TrailRun","intervals","143","161","icu","75.4","74.9","7.45","567.0","552.0","76.1","821.0","144.0","178.0","175.0","74.81645","47.0","19.720753","61.2","14.5","24.2","45.8","10.9","18.1","5","28.7","9.9","63","3.9;3.3;5.0;9.9;6.6","0;0;85;81;88","0.0","-12.3","intervals_fit","running trail","","","0.0","","","","6.29","6.05","73.7","75.9","1.0","1.0","","","0","0.962","","81.0","134.93904","7.0","2.0","","","","","work_intense","typical","unknown","endurance_hard","","1","0","v3.11","1.0"
"i106554657","5857122.0","2025-11-12","13:37","road_run","Run","intervals","143","161","icu","142.1","135.1","17.95","498.8","498.8","27.8","1224.0","122.0","144.0","135.0","","","19.583916","100.0","0.0","0.0","133.9","0.1","0.0","0","0.0","0.0","0","","","0.0","-1.6","intervals_fit","running generic","","","0.0","","","","7.87","7.97","","","1.0","0.0","","","1","1.013","","80.0","139.61028","5.0","3.0","","","","","easy","above","above","endurance_easy","","1","0","v3.11","1.0"
"i106739255","5857123.0","2025-11-13","14:24","bike","Ride","intervals","139","156","icu","67.5","64.4","20.04","491.0","497.0","24.5","619.0","130.0","160.0","156.0","81.42233","","19.094643","48.3","47.9","3.8","31.0","30.7","2.4","2","32.9","17.2","7","17.2;15.7","8;7","0.0","-18.3","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","53.0","80.80114","5.0","2.0","","","","","work_steady","below","below","endurance_moderate","","1","0","v3.11","1.0"
"i106864652","","2025-11-14","08:52","strength","WeightTraining","intervals","142","163","icu","93.4","93.4","0.0","","","","501.0","99.0","137.0","","","","","100.0","0.0","0.0","93.4","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","27.0","45.65921","4.0","","","","","","NA","above","above","strength_unknown","","1","0","v3.11",""
