"session_id","route_id","Fecha","start_time","sport","sport_raw","source","vt1_used","vt2_used","zones_source","duration_min","moving_min","distance_km","elev_gain_m","elev_loss_m","elev_density","calories","hr_mean","hr_max","hr_p95","average_cadence","hrr_drop_bpm","average_weather_temp","z1_pct","z2_pct","z3_pct","z1_total_min","z2_total_min","z3_total_min","work_n_blocks","work_total_min","work_longest_min","work_avg_z3_pct","work_blocks_min","work_blocks_z3pct","late_intensity","cardiac_drift_pct","mechanics_source","polar_sport_raw","polar_start_delta_min","polar_duration_gap_min","run_power_available","run_power_mean","run_power_max","run_power_p95","speed_first_half","speed_second_half","cadence_first_half","cadence_second_half","polar_speed_available","polar_cadence_available","run_power_first_half","run_power_second_half","durability_applicable","speed_ratio","power_ratio","load","trimp","rpe","feel","icu_weighted_avg_watts","icu_joules_above_ftp","icu_max_wbal_depletion","decoupling","intensity_category","effort_vs_recent","effort_vs_anchor","session_group","notes_raw","rpe_present","notes_present","pipeline_version","stream_dt_est"
"i79517185","","2025-05-21","15:20","road_run","VirtualRun","intervals","143","161","icu","85.8","18.3","1.47","","","","785.0","126.0","147.0","139.0","60.656715","","","98.0","2.0","0.0","16.8","0.3","0.0","0","0.0","0.0","0","","","0.0","","intervals_fit","running indoor_running","","","0.0","","","","5.71","4.68","66.3","55.0","1.0","1.0","","","1","0.82","","53.0","20.128593","","","","","","","easy","unknown","typical","endurance_easy","","0","0","v3.11","1.0"
"i79673474","","2025-05-22","15:30","strength","WeightTraining","intervals","142","163","icu","108.6","108.6","0.0","","","","625.0","102.0","147.0","","","","","99.5","0.5","0.0","108.2","0.5","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","31.0","54.037018","","","","","","","NA","unknown","above","strength_unknown","","0","0","v3.11",""
"i79842538","5857004.0","2025-05-23","15:54","bike","Ride","intervals","139","156","icu","284.1","270.9","81.35","1005.0","1008.0","12.4","2383.0","122.0","161.0","143.0","","","20.880093","91.7","7.4","0.9","248.2","20.1","2.4","2","15.2","11.8","15","11.8;3.4","20;0","0.0","-16.1","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","162.0","272.93207","","","","","","","work_intense","unknown","unknown","endurance_hard","","0","0","v3.11","1.0"
"i79941586","5857005.0","2025-05-24","11:09","bike","Ride","intervals","139","156","icu","245.1","233.4","67.42","1189.0","1278.0","17.6","1853.0","113.0","151.0","138.0","","","22.278194","96.5","3.5","0.0","225.0","8.2","0.0","1","7.3","7.3","0","7.3","0","0.0","-2.4","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","106.0","163.987","","","","","","","work_moderate","unknown","typical","endurance_moderate","","0","0","v3.11","1.0"
"i80247130","5857006.0","2025-05-26","15:29","trail_run","TrailRun","intervals","143","161","icu","70.1","69.8","9.69","272.0","268.0","28.1","682.0","129.0","151.0","144.0","81.0012","","24.185963","94.5","5.5","0.0","65.8","3.8","0.0","0","0.0","0.0","0","","","0.0","7.2","intervals_fit","running trail","","","0.0","","","","8.86","8.22","81.9","80.2","1.0","1.0","","","0","0.928","","49.0","87.933495","","","","","","","easy","unknown","typical","endurance_easy","","0","0","v3.11","1.001"
"i80380750","","2025-05-27","15:19","strength","WeightTraining","intervals","142","163","icu","74.8","74.7","0.0","","","","318.0","92.0","123.0","","","","","100.0","0.0","0.0","74.8","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","17.0","29.14641","","","","","","","NA","typical","above","strength_unknown","","0","0","v3.11",""
"i80544240","5857007.0","2025-05-28","15:13","bike","Ride","intervals","139","156","icu","125.4","123.0","37.0","665.0","654.0","18.0","1042.0","120.0","147.0","139.0","","","26.060152","96.3","3.7","0.0","118.4","4.6","0.0","0","0.0","0.0","0","","","0.0","8.0","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","68.0","115.57364","","","","","","","easy","above","above","endurance_easy","","0","0","v3.11","1.0"
"i80701421","","2025-05-29","15:30","swim","Swim","intervals","134","149","icu","51.4","50.6","1.6","","","","450.0","122.0","135.0","131.0","38.0","","","99.5","0.5","0.0","50.4","0.2","0.0","0","0.0","0.0","0","","","0.0","5.2","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","29.0","50.98897","","","","","","","easy","below","typical","endurance_easy","","0","0","v3.11","1.0"
"i80701090","","2025-05-29","16:31","strength","WeightTraining","intervals","142","163","icu","21.8","21.7","0.0","","","","97.0","93.0","111.0","","","","","100.0","0.0","0.0","21.8","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","5.0","8.559608","","","","","","","NA","below","below","strength_unknown","","0","0","v3.11",""
"i80843255","5857008.0","2025-05-30","15:15","bike","Ride","intervals","139","156","icu","60.2","57.1","15.86","351.0","356.0","22.1","590.0","136.0","177.0","175.0","","44.0","27.864689","56.8","15.4","27.8","32.4","8.8","15.9","5","24.9","6.2","59","4.0;4.6;5.9;6.2;4.2","0;79;69;66;69","0.0","-53.1","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","56.0","86.240105","","","","","","","work_intense","unknown","unknown","endurance_hard","","0","0","v3.11","1.0"
"i80924684","1774867.0","2025-05-31","07:56","trail_run","TrailRun","intervals","143","161","icu","103.2","103.0","15.08","906.0","914.0","60.1","1043.0","133.0","146.0","139.0","81.34219","","20.961891","99.7","0.3","0.0","102.5","0.3","0.0","0","0.0","0.0","0","","","0.0","4.8","intervals_fit","running trail","","","0.0","","","","9.19","8.71","81.8","80.9","1.0","1.0","","","1","0.948","","75.0","134.44995","","","","","","","easy","above","above","endurance_easy","","0","0","v3.11","1.001"
"i81069074","5857010.0","2025-06-01","07:59","bike","Ride","intervals","139","156","icu","157.7","151.7","58.22","208.0","227.0","3.6","1125.0","109.0","140.0","127.0","85.88317","","23.691975","100.0","0.0","0.0","151.2","0.0","0.0","0","0.0","0.0","0","","","0.0","8.8","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","57.0","97.01495","","","","","","","easy","typical","typical","endurance_easy","","0","0","v3.11","1.0"
"i81353445","","2025-06-02","15:04","strength","WeightTraining","intervals","142","163","icu","35.6","35.6","0.0","","","","164.0","92.0","112.0","","","","","100.0","0.0","0.0","35.4","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","8.0","13.525834","","","","","","","NA","below","typical","strength_unknown","","0","0","v3.11",""
"i81363990","","2025-06-03","08:23","strength","WeightTraining","intervals","142","163","icu","59.8","59.8","0.0","","","","219.0","87.0","125.0","","","","","100.0","0.0","0.0","59.8","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","12.0","19.782793","","","","","","","NA","typical","typical","strength_unknown","","0","0","v3.11",""
"i81420478","","2025-06-03","15:20","road_run","VirtualRun","intervals","143","161","icu","43.1","35.7","3.64","","","","409.0","128.0","146.0","143.0","67.294334","","","95.2","4.8","0.0","31.7","1.6","0.0","0","0.0","0.0","0","","","0.0","-0.2","intervals_fit","running indoor_running","","","0.0","","","","6.57","6.67","68.0","66.5","1.0","1.0","","","0","1.015","","23.0","43.42222","","","","","","","easy","below","typical","endurance_easy","","0","0","v3.11","1.0"
"i81420471","","2025-06-03","16:05","road_run","VirtualRun","intervals","143","161","icu","40.1","22.3","2.22","","","","384.0","131.0","148.0","144.0","61.795776","","","94.1","5.9","0.0","20.5","1.3","0.0","0","0.0","0.0","0","","","0.0","","intervals_fit","running indoor_running","","","0.0","","","","6.29","6.05","62.9","60.7","1.0","1.0","","","0","0.962","","14.0","29.34891","","","","","","","easy","below","below","endurance_easy","","0","0","v3.11","1.002"
"i81624329","","2025-06-03","16:05","road_run","Run","intervals","143","161","icu","40.1","21.9","2.22","","","","384.0","131.0","148.0","144.0","61.795776","","","94.2","5.8","0.0","18.8","1.2","0.0","0","0.0","0.0","0","","","0.0","","intervals_fit","running generic","","","0.0","","","","6.76","6.53","62.9","60.7","1.0","1.0","","","0","0.966","","14.0","28.757109","","","","","","","easy","below","below","endurance_easy","","0","0","v3.11","1.001"
