Fecha,ssm_input_ready,ssm_warmup_complete,ssm_recovery_state,ssm_baseline_state,ssm_fatigue_state,sleep_recovery_index,sleep_recovery_index_var,sleep_recovery_index_sd,sleep_obs_missing,sleep_input_quality,sleep_obs_var_multiplier,sleep_innovation,ssm_state_lo,ssm_state_hi,ssm_state_var,ssm_state_sd,ssm_baseline_state_var,ssm_fatigue_state_var,ssm_baseline_state_sd,ssm_fatigue_state_sd,ssm_obs_missing,ssm_load_missing,ssm_load_context_mode,ssm_proc_var_multiplier,ssm_input_quality,ssm_obs_var_multiplier,ssm_innovation,control_rolling_hrv_7d,control_load_7d
2025-06-12,True,False,,,,,,,True,suppressed,1.0,,,,,,,,,,False,False,session_recorded,1.0,clean,1.0,-0.44117069359999306,3.697300572650885,77.0
2025-06-13,True,False,,,,,,,True,suppressed,1.0,,,,,,,,,,False,False,session_recorded,1.0,clean,1.0,-0.0976061667028616,3.653029253112551,103.0
2025-06-14,True,False,,,,,,,True,suppressed,1.2,,,,,,,,,,True,False,session_recorded,1.0,suppressed,2.5,,3.646952323461384,132.0
2025-06-15,True,False,,,,,,,True,suppressed,1.1,,,,,,,,,,True,False,rest_day_no_session,1.15,suppressed,1.0,,3.646952323461384,
2025-06-16,True,False,,,,,,,True,suppressed,1.0,,,,,,,,,,False,False,session_recorded,1.0,degraded,3.5,-0.22563939106944497,3.6224252743366456,203.0
2025-06-17,True,False,,,,,,,True,suppressed,1.0,,,,,,,,,,False,False,session_recorded,1.0,clean,1.0,0.07854672111620653,3.6142664483093605,249.0
2025-06-18,True,False,,,,,,,True,suppressed,1.25,,,,,,,,,,False,False,session_recorded,1.0,clean,1.0,-0.24455401145314548,3.605724844571791,212.0
2025-06-19,True,False,,,,,,,True,suppressed,1.15,,,,,,,,,,False,False,session_recorded,1.0,clean,1.0,-0.5130946448285552,3.564646590544987,287.0
2025-06-20,True,False,,,,,,,True,suppressed,1.15,,,,,,,,,,True,False,session_recorded,1.0,suppressed,4.0,,3.8433354287678747,274.0
2025-06-21,True,False,,,,,,,True,suppressed,1.15,,,,,,,,,,False,False,session_recorded,1.0,clean,1.0,-0.48181229046704255,3.7508320458131585,247.0
2025-06-22,True,True,3.5726431038633293,3.8397992458485475,0.26715614198521814,,,,True,suppressed,1.15,,3.259788911081848,3.8854972966448105,0.009802297694783748,0.09900655379712874,0.00809244504321159,0.009699902583065918,0.08995801822634596,0.09848808345716713,False,False,session_recorded,1.0,clean,1.0,0.11478131629031285,3.7376978366411677,190.0
2025-06-23,True,True,3.615896163685525,3.862771374190614,0.24687521050508887,,,,True,suppressed,1.15,,3.3090291578434474,3.9227631695276024,0.009430708480934831,0.0971118349169391,0.007968399874541145,0.009590288622522446,0.08926589424041606,0.09793001900603536,False,False,session_recorded,1.0,clean,1.0,0.18244140582569157,3.7697339600542894,253.0
2025-06-24,True,True,3.6363086380657452,3.8906046225347954,0.2542959844690503,,,,True,suppressed,1.15,,3.332441474809313,3.9401758013221775,0.009247225996080811,0.09616249786731214,0.00787980739035789,0.009543119359239871,0.0887682791900231,0.09768889066439372,False,False,session_recorded,1.0,clean,1.0,0.20954175322474988,3.767707060767435,309.0
2025-06-25,True,True,3.634519269204674,3.894590856003367,0.26007158679869274,,,,True,suppressed,1.0,,3.289521823741524,3.9795167146678243,0.011919984406478727,0.10917868109882409,0.008270186125309983,0.010494903737050807,0.0909405636958007,0.1024446374245661,True,False,session_recorded,1.0,suppressed,4.0,,4.08335263564877,344.0
2025-06-26,True,True,3.6642564471910206,3.8946772959699096,0.23042084877888883,,,,True,suppressed,1.0,,3.2890291361120196,4.039483758270022,0.014100444740510826,0.11874529355099016,0.008648941333428879,0.011182567950019207,0.09299968458779244,0.10574766167636619,True,False,session_recorded,1.0,suppressed,1.0,,4.236318603319781,268.0
2025-06-27,True,True,3.685704717874899,3.8952424393369545,0.2095377214620555,,,,True,suppressed,1.0,,3.2794197446519204,4.0919896910978775,0.016531240660540687,0.12857387238681384,0.009110169105226034,0.012219405343888875,0.09544720585342471,0.1105414191327797,True,False,rest_day_no_session,1.15,suppressed,4.0,,4.267282106732093,
2025-06-28,True,True,3.719165647295556,3.895527660593793,0.1763620132982367,,,,True,suppressed,1.35,,3.3216483331130027,4.1166829614781095,0.01582544851853197,0.12579923894257855,0.009107388296933458,0.011732067769738352,0.09543263748285205,0.1083146701501618,False,False,session_recorded,1.0,degraded,3.5,0.02610813245887389,4.365624735658531,272.0
2025-06-29,True,True,3.578892337187978,3.9152800484914794,0.3363877113035012,,,,True,suppressed,1.15,,3.1627917905703167,3.9949928838056397,0.017339656954348144,0.13168013120569155,0.009461215810392264,0.012076418963635958,0.09726878127329582,0.10989276119761464,True,False,session_recorded,1.0,suppressed,2.5,,4.388211795249311,517.0
2025-06-30,True,True,3.616339379631562,3.971818873778197,0.3554794941466349,,,,True,suppressed,1.35,,3.256955172886952,3.9757235863761724,0.012934865123584985,0.11373154849726168,0.008768896133125271,0.010762647599985905,0.09364238427723459,0.10374318098065967,False,False,rest_day_no_session,1.15,clean,1.0,0.3134400751800035,4.4002551995888215,
2025-07-01,True,True,3.756854066776103,4.007675268534723,0.2508212017586204,,,,True,suppressed,1.0,,3.4275673582245823,4.086140775327624,0.010859062447986928,0.10420682534261817,0.008386876222916263,0.010012364869189858,0.09157988983896118,0.10006180524650682,False,False,session_recorded,1.0,clean,1.0,0.32430341222211245,4.432778500421457,531.0
2025-07-02,True,True,3.8756215298736056,4.05229079899062,0.1766692691170138,,,,True,suppressed,1.15,,3.5606386369118237,4.190604422835388,0.009936143693001094,0.09968020712759927,0.008166081778991696,0.009715833218251731,0.090366375267528,0.0985689262305912,False,False,session_recorded,1.0,clean,1.0,0.4189156745215552,4.175567800862438,504.0
2025-07-03,True,True,3.8806238542830696,4.06637285462977,0.18574900034670042,,,,True,suppressed,1.25,,3.572631084689225,4.188616623876914,0.009500029872385112,0.09746809669007142,0.008023085131787913,0.009595731039066888,0.08957167594607077,0.09795780233889942,False,False,session_recorded,1.0,clean,1.0,0.11581479063450972,4.145992065267433,563.0
