Fecha,polar_sleep_duration_min,polar_sleep_span_min,polar_deep_pct,polar_rem_pct,polar_efficiency_pct,polar_continuity,polar_continuity_index,polar_interruptions_long,polar_interruptions_total,polar_sleep_score,polar_night_rmssd,polar_night_rri,polar_night_resp,sleep_dur_p10,sleep_dur_p90,sleep_int_p90
2025-06-25,432.0,465.5,,,92.8034371643394,2.0,2.2,3.0,40.0,,,,,363.0,494.70000000000005,8.0
2025-06-26,434.5,476.5,,,91.18572927597062,1.0,1.5,7.0,41.0,,,,,363.0,494.70000000000005,8.0
2025-06-27,452.5,474.5,,,95.36354056902002,2.0,2.9,0.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-06-28,356.5,371.5,,,95.96231493943472,4.0,4.1,2.0,16.0,,,,,363.0,494.70000000000005,8.0
2025-06-29,408.5,438.5,,,93.15849486887116,2.0,2.4,4.0,30.0,,,,,363.0,494.70000000000005,8.0
2025-06-30,292.5,304.5,,,96.0591133004926,4.0,4.1,1.0,14.0,,,,,363.0,494.70000000000005,8.0
2025-07-01,431.5,466.0,,,92.59656652360516,2.0,2.0,4.0,41.0,,,,,363.0,494.70000000000005,8.0
2025-07-02,385.0,426.0,,,90.3755868544601,2.0,2.7,7.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-07-03,258.5,278.0,,,92.98561151079136,3.0,3.0,5.0,18.0,,,,,363.0,494.70000000000005,8.0
2025-07-04,426.0,455.0,,,93.62637362637362,2.0,2.2,3.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-07-05,423.5,456.5,,,92.7710843373494,2.0,2.0,3.0,37.0,,,,,363.0,494.70000000000005,8.0
2025-07-06,313.0,329.5,,,94.99241274658571,3.0,3.5,1.0,22.0,,,,,363.0,494.70000000000005,8.0
2025-07-07,407.5,441.0,,,92.40362811791384,1.0,1.9,4.0,35.0,,,,,363.0,494.70000000000005,8.0
2025-07-08,337.0,356.0,,,94.6629213483146,3.0,3.5,4.0,18.0,,,,,363.0,494.70000000000005,8.0
2025-07-09,415.5,455.5,,,91.218441273326,2.0,2.1,7.0,40.0,,,,,363.0,494.70000000000005,8.0
2025-07-10,430.0,460.5,,,93.37676438653637,2.0,2.4,3.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-07-11,388.0,418.0,,,92.82296650717704,2.0,2.6,5.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-07-12,482.5,521.5,,,92.5215723873442,2.0,2.3,5.0,42.0,,,,,363.0,494.70000000000005,8.0
2025-07-13,332.0,346.5,,,95.81529581529584,4.0,4.3,3.0,18.0,,,,,363.0,494.70000000000005,8.0
2025-07-14,405.0,438.5,,,92.36031927023946,2.0,2.3,3.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-07-15,354.5,382.5,,,92.6797385620915,2.0,2.6,6.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-07-16,389.5,417.5,,,93.2934131736527,3.0,3.0,5.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-07-17,456.5,513.5,,,88.89970788704966,1.0,1.2,11.0,51.0,,,,,363.0,494.70000000000005,8.0
2025-07-18,408.0,445.0,,,91.68539325842696,2.0,2.0,6.0,42.0,,,,,363.0,494.70000000000005,8.0
2025-07-19,,,,,,,,,,,,,,363.0,494.70000000000005,8.0
2025-07-20,365.5,409.0,,,89.3643031784841,3.0,3.1,3.0,24.0,,,,,363.0,494.70000000000005,8.0
2025-07-21,451.5,486.5,,,92.80575539568343,2.0,2.0,5.0,40.0,,,,,363.0,494.70000000000005,8.0
2025-07-22,328.0,343.5,,,95.48762736535662,3.0,3.8,2.0,17.0,,,,,363.0,494.70000000000005,8.0
2025-07-23,282.0,306.5,,,92.00652528548125,2.0,2.8,4.0,22.0,,,,,363.0,494.70000000000005,8.0
2025-07-24,416.5,447.5,,,93.07262569832402,2.0,2.4,6.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-07-25,302.5,318.5,,,94.97645211930926,3.0,3.7,3.0,18.0,,,,,363.0,494.70000000000005,8.0
2025-07-26,338.5,373.0,,,90.75067024128688,2.0,2.2,4.0,34.0,,,,,363.0,494.70000000000005,8.0
2025-07-27,363.0,395.0,,,91.8987341772152,1.0,1.6,3.0,38.0,,,,,363.0,494.70000000000005,8.0
2025-07-28,381.5,408.0,,,93.50490196078432,2.0,2.7,4.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-07-29,482.5,524.5,,,91.99237368922785,1.0,1.7,6.0,47.0,,,,,363.0,494.70000000000005,8.0
2025-07-30,450.0,491.5,,,91.55645981688708,2.0,2.1,11.0,40.0,,,,,363.0,494.70000000000005,8.0
2025-07-31,429.5,452.0,,,95.02212389380531,2.0,2.8,1.0,30.0,,,,,363.0,494.70000000000005,8.0
2025-08-01,386.0,416.5,,,92.67707082833134,2.0,2.7,4.0,31.0,,,,,363.0,494.70000000000005,8.0
2025-08-02,382.0,404.0,,,94.55445544554456,2.0,2.9,3.0,23.0,,,,,363.0,494.70000000000005,8.0
2025-08-03,387.0,417.0,,,92.80575539568343,1.0,1.8,2.0,37.0,,,,,363.0,494.70000000000005,8.0
2025-08-04,392.5,421.0,,,93.23040380047506,3.0,3.3,5.0,22.0,,,,,363.0,494.70000000000005,8.0
2025-08-05,387.5,418.5,,,92.5925925925926,1.0,1.9,3.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-08-06,402.5,438.0,,,91.89497716894978,2.0,2.6,6.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-08-07,376.5,404.5,,,93.0778739184178,2.0,2.8,4.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-08-08,447.0,486.0,,,91.9753086419753,2.0,2.3,5.0,39.0,,,,,363.0,494.70000000000005,8.0
2025-08-09,410.0,434.5,,,94.36133486766398,3.0,3.8,3.0,22.0,,,,,363.0,494.70000000000005,8.0
2025-08-10,369.0,396.0,,,93.18181818181816,2.0,2.7,4.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-08-11,270.0,291.0,,,92.78350515463916,2.0,2.9,3.0,19.0,,,,,363.0,494.70000000000005,8.0
2025-08-12,399.0,426.5,,,93.55216881594372,2.0,2.7,4.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-08-13,410.5,448.5,,,91.5273132664437,2.0,2.2,2.0,39.0,,,,,363.0,494.70000000000005,8.0
2025-08-14,400.5,425.5,,,94.12455934195064,3.0,3.0,4.0,27.0,,,,,363.0,494.70000000000005,8.0
2025-08-15,499.0,532.5,,,93.70892018779344,3.0,3.2,6.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-08-16,,,,,,,,,,,,,,363.0,494.70000000000005,8.0
2025-08-17,329.5,350.0,,,94.14285714285714,3.0,3.3,1.0,27.0,,,,,363.0,494.70000000000005,8.0
2025-08-18,440.0,473.0,,,93.02325581395348,2.0,2.7,6.0,34.0,,,,,363.0,494.70000000000005,8.0
2025-08-19,472.0,500.0,,,94.4,2.0,2.8,3.0,29.0,,,,,363.0,494.70000000000005,8.0
2025-08-20,,,,,,,,,,,,,,363.0,494.70000000000005,8.0
